project,id,version,time
eclipse,1,v105,2001-5-10
eclipse,2,R2_1_1,2003-6-11
eclipse,3,R3_1_1,2005-9-27
eclipse,4,R3_4,2008-6-17
eclipse,5,R3_6_2,2011-2-8
eclipse,6,R4_3,2013-6-26
eclipse,7,R4_5,2015-6-25
eclipse,8,R4_6_1,2016-9-29
eclipse,9,R4_7,2017-6-27
eclipse,10,S4_14_0,2019-10-9
openoffice,1,AOO340,2012-11-26
openoffice,2,AOO401,2013-9-25
openoffice,3,AOO410,2014-4-29
openoffice,4,AOO411,2015-9-28
openoffice,5,AOO4121,2016-7-29
openoffice,6,AOO413,2017-4-8
openoffice,7,AOO416-RC1,2018-4-26
openoffice,8,AOO417,2019-9-26
freedesktop,9,fa91dd31f39a24329d288d4e1cda28db3a16af0d,2015-11-7
freedesktop,8,1e10f6d229587ffc2a955c225b489645f8016e23,2013-4-10
freedesktop,7,dc6c7e844a02a59133e96553000666be87b1a74e,2011-10-28
freedesktop,6,1ddaa21f25dd09d44a49a7407480072f251f8333,2008-12-30
freedesktop,5,f9154f665aae963baf2908329fe636200cb37539,2006-12-29
freedesktop,4,cb651d7933ac97f5f2bbbce5676681005cee613c,2004-12-23
freedesktop,3,40ce4230aa623b5c9bea670422e16a5a7346af53,2002-12-20
freedesktop,2,963ba1e5c936cfb3b53c7b9e4bac94365e03ccc7,2000-12-31
freedesktop,1,9399c662f36c385b0c705eb34e636a9aec450282,2000-9-18
freedesktop,10,0cc2ec0f0f2380d2c5456a5b8c9bb1789e832cde,2019-7-28
netbeans,1,63a7d53071871081f114fed19d08c4ecc1f937f7,1999-1-5
netbeans,2,79a27c08b95309892b5f54712e18571d6e6049a9,2001-12-21
netbeans,3,f66a623fa87b13d981fcbd08f41edb5b0c0c1f6e,2003-12-31
netbeans,4,396f75eb865658bd7dfde0a4ef3b2203ee0e12a6,2005-12-31
netbeans,5,b0740a59befa0dab9ca7cba72dada8ce158ec7a0,2007-12-31
netbeans,6,098ddcaf0d029559cd8e5b894212178ffba9391f,2009-12-30
netbeans,7,91bb3eeef4f892afa5a94619e90592960034132b,2011-12-31
netbeans,8,d928611031a90dff03b5b674931e316375aedb30,2013-12-31
netbeans,9,73606fe7b5065889ad7b93e38e282ab4f6132f00,2015-12-31
netbeans,10,ab4e095492d8837c0237e77790f90fcefed9e954,2019-7-12
mozilla,1,4556a7c89ca69a0601a075dea6233c9531ac114d,1998-3-28
mozilla,2,8fc329f0e3563f2672ed3c96ddc54f1714ec27ae,2001-12-31
mozilla,3,17dc7b5d5ac6ac065fcb20148eea9619fce13bda,2003-12-31
mozilla,4,6f179597968c8b9e2f5522d3156bf2c5d0d79fad,2005-12-31
mozilla,5,1fe774c6e4a5359af84bc0b3f70249973827ce88,2007-12-31
mozilla,6,1630738055bbba381e39a106a5e6c3e96c09ba47,2009-12-31
mozilla,7,0b1ddebe64d159bc76861fce3d5488f65fd02192,2012-9-6
mozilla,8,9ac077fb9b015f7ae2e7782c9e3821089569577a,2014-12-11
mozilla,9,a334ab0dad1b8d9a2bcb72576e1147e81572ea432016-8-24
mozilla,10,b9041f813de0a05bf6de95a145d4e25004499517,2019-7-20
