ID,Bug ID,Blocking Bug ID,Blocked Bug ID,Reason,Measure
1,Eclipse,22108,19258,R1,M2
2,Eclipse,69289,127426,R3,M2
3,Eclipse,414627,413613,R1,M2
4,Eclipse,29216,302296,R1,M2
5,Eclipse,213628,172793,R2,M1
6,Eclipse,56770,53617,R1,M2
7,Eclipse,517811,516076,R4,M2
8,Eclipse,230854,325994,R4,M3
9,Eclipse,509856,501803,R4,M3
10,Eclipse,503431,513938,R1,M1
11,Eclipse,139056,139488,R1,M2
12,Eclipse,306818,306627,R2,M2
13,Eclipse,394172,396249,R4,M2
14,Eclipse,246391,240053,R1,M1
15,Eclipse,516432,516424,R3,M1
16,Eclipse,145562,145561,R1,M2
17,Eclipse,73352,108758,R1,M1
18,Eclipse,340375,340372,R4,M3
19,Eclipse,436469,413583,R2,M1
20,Eclipse,480740,480743,R1,M3
21,Eclipse,305793,305796,R1,M1
22,Eclipse,439515,450930,R1,M1
23,Eclipse,497585,497591,R4,M3
24,Eclipse,121254,119516,R1,M1
25,Eclipse,473904,474544,R1,M2
26,Eclipse,76391,72358,R1,M1
27,Eclipse,62904,62914,R4,M1
28,Eclipse,405810,405811,R1,M2
29,Eclipse,358470,342308,R4,M3
30,Netbeans,133046,133047,R2,M2
31,Netbeans,230705,230755,R1,M2
32,Netbeans,123725,123481,R1,M1
33,Netbeans,112464,110302,R2,M2
34,Netbeans,184671,179299,R4,M3
35,Netbeans,30946,29886,R1,M2
36,Netbeans,186024,183557,R2,M2
37,Netbeans,34734,28836,R1,M2
38,Netbeans,98410,99567,R3,M2
39,Netbeans,179716,179668,R2,M2
40,Netbeans,246147,245155,R1,M2
41,Netbeans,130921,122942,R4,M3
42,Netbeans,233066,166694,R2,M1
43,Netbeans,36320,44360,R2,M3
44,Netbeans,36758,36757,R1,M1
45,Netbeans,96250,89603,R1,M2
46,Netbeans,110657,110570,R1,M1
47,Netbeans,95534,92264,R1,M1
48,Netbeans,34090,20001,R1,M2
49,Netbeans,101722,105689,R2,M1
50,Netbeans,166910,150194,R4,M3
51,Netbeans,35827,37433,R3,M2
52,Netbeans,194545,196452,R1,M2
53,Netbeans,60313,60311,R3,M1
54,Netbeans,240105,239673,R3,M2
55,Netbeans,75988,80889,R1,M1
56,Netbeans,210314,53192,R2,M2
57,Netbeans,127998,124127,R2,M2
58,Netbeans,184854,185346,R1,M2
59,Netbeans,204271,157361,R1,M1
60,Netbeans,97215,49026,R4,M3
61,Netbeans,189915,189312,R2,M1
62,Netbeans,122543,122540,R2,M2
63,Netbeans,21153,20168,R4,M3
64,Netbeans,31586,28260,R2,M3
65,Netbeans,98197,42638,R2,M3
66,Netbeans,29671,28126,R1,M3
67,Openoffice,92972,92941,R1,M1
68,Openoffice,89689,89408,R1,M2
69,Openoffice,70519,69066,R1,M2
70,Openoffice,99367,99295,R1,M1
71,Openoffice,97384,84292,R1,M1
72,Openoffice,66377,64392,R1,M1
73,Openoffice,91226,91227,R3,M1
74,Openoffice,27977,27972,R1,M2
75,Openoffice,87538,94185,R3,M1
76,Openoffice,2153,2139,R1,M1
77,Openoffice,96418,90517,R1,M2
78,Openoffice,106249,302215,R2,M2
79,Openoffice,24771,23736,R3,M2
80,Openoffice,90022,88888,R1,M1
81,Openoffice,101552,104940,R2,M1
82,Openoffice,70805,70619,R2,M2
83,Openoffice,84084,82202,R2,M2
84,Openoffice,17532,17528,R1,M1
85,Openoffice,104155,99999,R1,M1
86,Openoffice,17624,21821,R3,M2
87,Openoffice,41671,32911,R2,M2
88,Openoffice,17902,60776,R1,M3
89,Openoffice,48160,61267,R4,M1
90,Openoffice,73124,73125,R4,M3
